filename,scene,condition,beta,severity
frankfurt_000001_003056_leftImg8bit.png,frankfurt_000001_003056,clear,0.0,0.2691326439380646
frankfurt_000001_003588_leftImg8bit.png,frankfurt_000001_003588,clear,0.0,0.287882387638092
frankfurt_000001_004327_leftImg8bit.png,frankfurt_000001_004327,clear,0.0,0.2704761624336242
frankfurt_000001_004736_leftImg8bit.png,frankfurt_000001_004736,clear,0.0,0.2207313477993011
frankfurt_000001_004859_leftImg8bit.png,frankfurt_000001_004859,clear,0.0,0.2379900813102722
frankfurt_000001_005184_leftImg8bit.png,frankfurt_000001_005184,clear,0.0,0.2579608857631683
frankfurt_000001_005410_leftImg8bit.png,frankfurt_000001_005410,clear,0.0,0.1981385052204132
frankfurt_000001_005703_leftImg8bit.png,frankfurt_000001_005703,clear,0.0,0.2595610916614532
frankfurt_000001_005898_leftImg8bit.png,frankfurt_000001_005898,clear,0.0,0.2601465284824371
frankfurt_000001_007285_leftImg8bit.png,frankfurt_000001_007285,clear,0.0,0.2246194779872894
frankfurt_000001_007407_leftImg8bit.png,frankfurt_000001_007407,clear,0.0,0.1914744526147842
frankfurt_000001_007622_leftImg8bit.png,frankfurt_000001_007622,clear,0.0,0.2281128466129303
frankfurt_000001_007857_leftImg8bit.png,frankfurt_000001_007857,clear,0.0,0.2402651160955429
frankfurt_000001_007973_leftImg8bit.png,frankfurt_000001_007973,clear,0.0,0.2188939452171325
frankfurt_000001_008200_leftImg8bit.png,frankfurt_000001_008200,clear,0.0,0.2319929599761963
frankfurt_000001_008688_leftImg8bit.png,frankfurt_000001_008688,clear,0.0,0.2534533739089966
frankfurt_000001_009058_leftImg8bit.png,frankfurt_000001_009058,clear,0.0,0.2417615205049514
frankfurt_000001_009504_leftImg8bit.png,frankfurt_000001_009504,clear,0.0,0.2325571030378341
frankfurt_000001_009854_leftImg8bit.png,frankfurt_000001_009854,clear,0.0,0.2243248671293258
frankfurt_000001_010156_leftImg8bit.png,frankfurt_000001_010156,clear,0.0,0.2161614447832107
frankfurt_000001_010444_leftImg8bit.png,frankfurt_000001_010444,clear,0.0,0.1628076881170272
frankfurt_000001_010600_leftImg8bit.png,frankfurt_000001_010600,clear,0.0,0.1743576228618621
frankfurt_000001_010830_leftImg8bit.png,frankfurt_000001_010830,clear,0.0,0.1551182866096496
frankfurt_000001_011162_leftImg8bit.png,frankfurt_000001_011162,clear,0.0,0.206437274813652
frankfurt_000001_011715_leftImg8bit.png,frankfurt_000001_011715,clear,0.0,0.227257490158081
frankfurt_000001_011835_leftImg8bit.png,frankfurt_000001_011835,clear,0.0,0.2112993746995926
frankfurt_000001_012038_leftImg8bit.png,frankfurt_000001_012038,clear,0.0,0.2168694585561752
frankfurt_000001_012519_leftImg8bit.png,frankfurt_000001_012519,clear,0.0,0.1886114031076431
frankfurt_000001_012699_leftImg8bit.png,frankfurt_000001_012699,clear,0.0,0.2153847068548202
frankfurt_000001_012738_leftImg8bit.png,frankfurt_000001_012738,clear,0.0,0.229643315076828
frankfurt_000001_012870_leftImg8bit.png,frankfurt_000001_012870,clear,0.0,0.2252575606107711
frankfurt_000001_013016_leftImg8bit.png,frankfurt_000001_013016,clear,0.0,0.2129536569118499
frankfurt_000001_013496_leftImg8bit.png,frankfurt_000001_013496,clear,0.0,0.2596605718135834
frankfurt_000001_013710_leftImg8bit.png,frankfurt_000001_013710,clear,0.0,0.2727609872817993
frankfurt_000001_014221_leftImg8bit.png,frankfurt_000001_014221,clear,0.0,0.2489381432533264
frankfurt_000001_014406_leftImg8bit.png,frankfurt_000001_014406,clear,0.0,0.264817327260971
frankfurt_000001_014565_leftImg8bit.png,frankfurt_000001_014565,clear,0.0,0.2133139669895172
frankfurt_000001_014741_leftImg8bit.png,frankfurt_000001_014741,clear,0.0,0.2245086878538131
frankfurt_000001_015091_leftImg8bit.png,frankfurt_000001_015091,clear,0.0,0.2197729796171188
frankfurt_000001_015328_leftImg8bit.png,frankfurt_000001_015328,clear,0.0,0.2581082880496979
frankfurt_000001_015768_leftImg8bit.png,frankfurt_000001_015768,clear,0.0,0.2135484665632248
frankfurt_000001_016029_leftImg8bit.png,frankfurt_000001_016029,clear,0.0,0.1873334795236587
frankfurt_000001_016273_leftImg8bit.png,frankfurt_000001_016273,clear,0.0,0.2429057657718658
frankfurt_000001_016462_leftImg8bit.png,frankfurt_000001_016462,clear,0.0,0.2602413892745971
frankfurt_000001_017101_leftImg8bit.png,frankfurt_000001_017101,clear,0.0,0.2516435980796814
frankfurt_000001_017459_leftImg8bit.png,frankfurt_000001_017459,clear,0.0,0.1990267783403396
frankfurt_000001_017842_leftImg8bit.png,frankfurt_000001_017842,clear,0.0,0.2325367927551269
frankfurt_000001_018113_leftImg8bit.png,frankfurt_000001_018113,clear,0.0,0.2489094734191894
frankfurt_000001_019698_leftImg8bit.png,frankfurt_000001_019698,clear,0.0,0.2493625581264495
frankfurt_000001_019854_leftImg8bit.png,frankfurt_000001_019854,clear,0.0,0.2172496169805526
frankfurt_000001_019969_leftImg8bit.png,frankfurt_000001_019969,clear,0.0,0.2755908071994781
frankfurt_000001_020046_leftImg8bit.png,frankfurt_000001_020046,clear,0.0,0.2384453862905502
frankfurt_000001_020287_leftImg8bit.png,frankfurt_000001_020287,clear,0.0,0.2396987527608871
