stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group,median_brightness_score,orange_index_score,channel_spread_score,rms_contrast_score,upper_contrast_score
GSGL_Baidu_051,GSGL_Baidu_051.png,JPEGImages/GSGL_Baidu_051.png,0.208363190293312,clear,0.0327868852459016,0.0,0.0,0.0109289617486338,failure,91.0,-18.750619999999998,18.750619999999998,0.09135293126736542,0.0635170766268367
GSGL_Baidu_1016,GSGL_Baidu_1016.png,JPEGImages/GSGL_Baidu_1016.png,0.2628165185451507,light,0.0,0.0,0.3333333333333333,0.1111111111111111,failure,100.0,-1.0750100953623445,3.147013325878305,0.1869666303666739,0.16139919252829835
GSGL_Baidu_1035,GSGL_Baidu_1035.png,JPEGImages/GSGL_Baidu_1035.png,0.2757791876792907,light,0.6870229007633588,0.2977099236641221,0.5572519083969466,0.5139949109414759,intermediate,126.0,-7.031283783783778,7.031283783783778,0.19893426166586756,0.1479601793274195
GSGL_Baidu_1054,GSGL_Baidu_1054.png,JPEGImages/GSGL_Baidu_1054.png,0.1968259960412979,clear,0.3703703703703703,0.2222222222222222,0.3703703703703703,0.3209876543209876,intermediate,102.0,-13.837334882320036,13.837334882320036,0.20832549919219753,0.19014601550839508
GSGL_Baidu_1066,GSGL_Baidu_1066.png,JPEGImages/GSGL_Baidu_1066.png,0.266810804605484,light,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,failure,127.0,11.17623118603251,11.17623118603251,0.22045881570982906,0.2087954022011678
GSGL_Baidu_1136,GSGL_Baidu_1136.png,JPEGImages/GSGL_Baidu_1136.png,0.270417183637619,light,1.0,1.0,0.0,0.6666666666666666,intermediate,107.0,15.695771878072762,19.981776466732214,0.13013347721485496,0.10412793059692513
GSGL_Baidu_1163,GSGL_Baidu_1163.png,JPEGImages/GSGL_Baidu_1163.png,0.3070329427719116,light,0.6410256410256411,0.1025641025641025,0.2564102564102564,0.3333333333333333,intermediate,120.0,-3.5808835188532555,3.5808835188532555,0.21607870088719394,0.24556746374098273
GSGL_Baidu_133,GSGL_Baidu_133.png,JPEGImages/GSGL_Baidu_133.png,0.2186252176761627,clear,0.0833333333333333,0.5833333333333334,0.5,0.3888888888888888,intermediate,99.0,-2.844527264030617,7.53457828443878,0.3188689220058643,0.2959789213365065
GSGL_Baidu_145,GSGL_Baidu_145.png,JPEGImages/GSGL_Baidu_145.png,0.3246533572673797,light,0.0,0.0,0.2727272727272727,0.0909090909090909,failure,132.0,22.735711500974674,22.735711500974674,0.15570168942970966,0.1277077761026578
GSGL_Baidu_261,GSGL_Baidu_261.png,JPEGImages/GSGL_Baidu_261.png,0.2041119337081909,clear,0.0,0.0,0.0,0.0,failure,101.0,57.95427265620302,57.95427265620302,0.1354427360641923,0.14362990799064612
GSGL_Baidu_300,GSGL_Baidu_300.png,JPEGImages/GSGL_Baidu_300.png,0.2201332449913025,clear,0.2727272727272727,0.0,0.0909090909090909,0.1212121212121212,failure,133.0,0.7806389612375284,4.3707962717250695,0.2654643789819722,0.2191254644692878
GSGL_Baidu_476,GSGL_Baidu_476.png,JPEGImages/GSGL_Baidu_476.png,0.3079984188079834,light,0.0,0.0,0.0,0.0,failure,117.0,14.662289817420799,14.662289817420799,0.2030112693770926,0.19073407585153218
GSGL_Baidu_489,GSGL_Baidu_489.png,JPEGImages/GSGL_Baidu_489.png,0.3391606211662292,light,0.8611111111111112,0.5,0.5833333333333334,0.6481481481481483,intermediate,95.0,2.1338561776061766,2.1338561776061766,0.22252184448672832,0.24169399294247162
GSGL_Baidu_619,GSGL_Baidu_619.png,JPEGImages/GSGL_Baidu_619.png,0.2756158709526062,light,0.625,0.375,0.5,0.5,intermediate,115.0,-3.1140325670498044,3.1140325670498044,0.23554505818518148,0.25951483327621383
GSGL_Baidu_684,GSGL_Baidu_684.png,JPEGImages/GSGL_Baidu_684.png,0.329265832901001,light,0.8,0.6,0.6,0.6666666666666666,intermediate,89.0,4.230824856722776,4.230824856722776,0.2762515373300169,0.2765439650503454
GSGL_Baidu_788,GSGL_Baidu_788.png,JPEGImages/GSGL_Baidu_788.png,0.3440716862678528,light,0.6666666666666666,0.1805555555555555,0.4166666666666667,0.4212962962962963,intermediate,118.0,0.34468809073725026,0.34468809073725026,0.17984518923471465,0.1550725757697798
GSGL_Baidu_845,GSGL_Baidu_845.png,JPEGImages/GSGL_Baidu_845.png,0.3247974514961242,light,0.0,0.125,0.25,0.125,failure,186.0,29.671823529411768,33.37518235294118,0.29286856777731457,0.11754767802809578
GSGL_Baidu_873,GSGL_Baidu_873.png,JPEGImages/GSGL_Baidu_873.png,0.3045149445533752,light,0.1176470588235294,0.0294117647058823,0.1470588235294117,0.0980392156862744,failure,133.0,-7.351136363636385,7.669902597402597,0.19080343942819952,0.1877154535889364
GSGL_Bing_210,GSGL_Bing_210.png,JPEGImages/GSGL_Bing_210.png,0.2797137796878814,light,0.2,0.2,0.2,0.2,failure,144.0,-13.801511627906976,13.801511627906976,0.29153913691417516,0.30843618025314573
GSGL_Bing_217,GSGL_Bing_217.png,JPEGImages/GSGL_Bing_217.png,0.2403514683246612,clear,0.0,0.0,0.0,0.0,failure,180.0,124.03970477343873,124.03970477343873,0.18405948244341935,0.17063226605111742
GSGL_Bing_535,GSGL_Bing_535.png,JPEGImages/GSGL_Bing_535.png,0.3476906418800354,light,0.0,0.0,0.1111111111111111,0.037037037037037,failure,112.0,8.773710083529835,8.773710083529835,0.19163301939597324,0.20008591460283992
GSGL_Bing_681,GSGL_Bing_681.png,JPEGImages/GSGL_Bing_681.png,0.2672338783740997,light,0.25,0.25,0.375,0.2916666666666667,failure,117.0,-16.18236074270557,16.18236074270557,0.16739324489332225,0.11929248464713152
GSGL_Google_120,GSGL_Google_120.png,JPEGImages/GSGL_Google_120.png,0.0099976956844329,clear,0.0,0.0,0.0,0.0,failure,75.0,73.87058189243864,73.87058189243864,0.08017549999210423,0.07343823221469487
GSGL_Google_121,GSGL_Google_121.png,JPEGImages/GSGL_Google_121.png,0.2718621492385864,light,0.0,0.0,0.0,0.0,failure,192.0,120.10767897435122,120.10767897435122,0.15457577569484357,0.062284580476906284
HC_Bing_660,HC_Bing_660.png,JPEGImages/HC_Bing_660.png,0.3384445011615753,light,1.0,1.0,1.0,1.0,clear,105.0,9.599426829268296,9.599426829268296,0.20806270812174632,0.15273931246120415
HC_Google_364,HC_Google_364.png,JPEGImages/HC_Google_364.png,0.2836930155754089,light,0.4210526315789473,0.2105263157894736,0.1578947368421052,0.263157894736842,failure,122.0,-9.090859762372531,11.672202731780345,0.23489636892778787,0.15095246205070847
