stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group
BJ_Bing_613,BJ_Bing_613.png,JPEGImages/BJ_Bing_613.png,0.3326205611228943,light,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,intermediate
BJ_Bing_696,BJ_Bing_696.png,JPEGImages/BJ_Bing_696.png,0.3211164474487304,light,0.0,0.0,0.0,0.0,failure
BJ_Bing_698,BJ_Bing_698.png,JPEGImages/BJ_Bing_698.png,0.3007481396198272,light,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,intermediate
BJ_Bing_699,BJ_Bing_699.png,JPEGImages/BJ_Bing_699.png,0.1674687266349792,clear,0.0,0.0,0.0,0.0,failure
BJ_Bing_738,BJ_Bing_738.png,JPEGImages/BJ_Bing_738.png,0.2833601534366607,light,1.0,1.0,1.0,1.0,clear
BJ_Bing_760,BJ_Bing_760.png,JPEGImages/BJ_Bing_760.png,0.31234011054039,light,0.0,0.0,0.0,0.0,failure
BJ_Google_166,BJ_Google_166.png,JPEGImages/BJ_Google_166.png,0.345395565032959,light,0.4,0.4,0.6,0.4666666666666666,intermediate
BJ_Google_261,BJ_Google_261.png,JPEGImages/BJ_Google_261.png,0.3376331329345703,light,0.0,0.0,0.0,0.0,failure
BJ_Google_454,BJ_Google_454.png,JPEGImages/BJ_Google_454.png,0.201668381690979,clear,1.0,0.5,1.0,0.8333333333333334,clear
BJ_Google_508,BJ_Google_508.png,JPEGImages/BJ_Google_508.png,0.3253911733627319,light,0.0555555555555555,0.1666666666666666,0.1111111111111111,0.11111111111111106,failure
BJ_Google_613,BJ_Google_613.png,JPEGImages/BJ_Google_613.png,0.3354640603065491,light,0.5,0.375,1.0,0.625,intermediate
BL_Baidu_129,BL_Baidu_129.png,JPEGImages/BL_Baidu_129.png,0.2362386882305145,clear,0.625,0.25,0.5,0.4583333333333333,intermediate
BL_Baidu_134,BL_Baidu_134.png,JPEGImages/BL_Baidu_134.png,0.3387695550918579,light,0.2,0.4,0.6,0.4000000000000001,intermediate
BL_Baidu_176,BL_Baidu_176.png,JPEGImages/BL_Baidu_176.png,0.3354392349720001,light,0.0,0.0,0.1666666666666666,0.05555555555555553,failure
BL_Bing_092,BL_Bing_092.png,JPEGImages/BL_Bing_092.png,0.3334512114524841,light,1.0,1.0,1.0,1.0,clear
BL_Bing_122,BL_Bing_122.png,JPEGImages/BL_Bing_122.png,0.3260742425918579,light,0.1666666666666666,0.1666666666666666,0.5,0.27777777777777773,failure
BL_Bing_126,BL_Bing_126.png,JPEGImages/BL_Bing_126.png,0.3055660724639892,light,0.4545454545454545,0.5454545454545454,0.4545454545454545,0.4848484848484848,intermediate
BL_Bing_186,BL_Bing_186.png,JPEGImages/BL_Bing_186.png,0.2579143941402435,clear,0.6,0.7,1.0,0.7666666666666666,clear
BL_Bing_591,BL_Bing_591.png,JPEGImages/BL_Bing_591.png,0.3317029476165771,light,0.5,0.75,0.75,0.6666666666666666,intermediate
BL_Google_047,BL_Google_047.png,JPEGImages/BL_Google_047.png,0.2767835259437561,light,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.3333333333333333,intermediate
BL_Google_065,BL_Google_065.png,JPEGImages/BL_Google_065.png,0.2350588887929916,clear,0.6086956521739131,0.5652173913043478,0.6086956521739131,0.5942028985507246,intermediate
BL_Google_199,BL_Google_199.png,JPEGImages/BL_Google_199.png,0.2702654898166656,light,0.48,0.64,0.48,0.5333333333333333,intermediate
BL_Google_440,BL_Google_440.png,JPEGImages/BL_Google_440.png,0.2979040145874023,light,0.4210526315789473,0.6842105263157895,0.5789473684210527,0.5614035087719298,intermediate
CC_Baidu_148,CC_Baidu_148.png,JPEGImages/CC_Baidu_148.png,0.3273742794990539,light,0.0,0.0,0.2,0.06666666666666667,failure
CC_Baidu_151,CC_Baidu_151.png,JPEGImages/CC_Baidu_151.png,0.2002138048410415,clear,0.0,0.0,0.0,0.0,failure
CC_Bing_112,CC_Bing_112.png,JPEGImages/CC_Bing_112.png,0.1141494214534759,clear,0.0,0.0,0.5,0.16666666666666666,failure
CC_Bing_327,CC_Bing_327.png,JPEGImages/CC_Bing_327.png,0.3258649110794067,light,0.0,0.5,0.0,0.16666666666666666,failure
CC_Bing_357,CC_Bing_357.png,JPEGImages/CC_Bing_357.png,0.3306563198566437,light,0.0,0.3,0.2,0.16666666666666666,failure
CC_Google_074,CC_Google_074.png,JPEGImages/CC_Google_074.png,0.3350279331207275,light,0.5,0.5,0.0,0.3333333333333333,intermediate
CC_Google_089,CC_Google_089.png,JPEGImages/CC_Google_089.png,0.3462562263011932,light,0.0,0.0,0.0,0.0,failure
CD_Baidu_180,CD_Baidu_180.png,JPEGImages/CD_Baidu_180.png,0.3475887775421142,light,0.3636363636363636,0.5454545454545454,0.5454545454545454,0.4848484848484848,intermediate
